0.05	0
0.1	0.01
0.15	0.0199205
0.2	0.0296826
0.25	0.0392088
0.3	0.0484232
0.35	0.0572527
0.4	0.0656271
0.45	0.0734798
0.5	0.0807485
0.55	0.0873753
0.6	0.0933077
0.65	0.0984986
0.7	0.102907
0.75	0.106497
0.8	0.109241
0.85	0.111118
0.9	0.112111
0.95	0.112215
1	0.111427
1.05	0.109754
1.1	0.107209
1.15	0.103814
1.2	0.0995944
1.25	0.0945846
1.3	0.0888244
1.35	0.0823597
1.4	0.075242
1.45	0.0675277
1.5	0.0592783
1.55	0.0505594
1.6	0.04144
1.65	0.0319927
1.7	0.0222923
1.75	0.0124156
1.8	0.00244074
1.85	-0.00755336
1.9	-0.0174879
1.95	-0.0272845
2	-0.0368662
2.05	-0.0461578
2.1	-0.0550866
2.15	-0.0635828
2.2	-0.0715805
2.25	-0.0790177
2.3	-0.0858372
2.35	-0.0919869
2.4	-0.0974202
2.45	-0.102096
2.5	-0.105981
2.55	-0.109046
2.6	-0.11127
2.65	-0.112639
2.7	-0.113145
2.75	-0.112788
2.8	-0.111574
2.85	-0.109515
2.9	-0.106633
2.95	-0.102952
3	-0.0985049
3.05	-0.0933299
3.1	-0.0874699
3.15	-0.080973
3.2	-0.0738915
3.25	-0.0662814
3.3	-0.0582019
3.35	-0.0497147
3.4	-0.0408834
3.45	-0.0317726
3.5	-0.0224475
3.55	-0.0129733
3.6	-0.00341416
3.65	0.00616708
3.7	0.0157096
3.75	0.0251553
3.8	0.0344488
3.85	0.0435385
3.9	0.0523766
3.95	0.0609192
4	0.0691268
4.05	0.0769645
4.1	0.0844018
4.15	0.0914124
4.2	0.0979748
4.25	0.104071
4.3	0.109689
4.35	0.114817
4.4	0.119451
4.45	0.123586
4.5	0.127224
4.55	0.130365
4.6	0.133016
4.65	0.135182
4.7	0.136872
4.75	0.138096
4.8	0.138864
4.85	0.139188
4.9	0.139081
4.95	0.138556
5	0.137626
5.05	0.136305
5.1	0.134607
5.15	0.132545
5.2	0.130135
5.25	0.12739
5.3	0.124324
5.35	0.120951
5.4	0.117286
5.45	0.113342
5.5	0.109133
5.55	0.104673
5.6	0.0999761
5.65	0.0950552
5.7	0.0899245
5.75	0.0845974
5.8	0.0790875
5.85	0.0734086
5.9	0.067574
5.95	0.0615974
6	0.0554924
6.05	0.0492724
6.1	0.042951
6.15	0.0365417
6.2	0.030058
6.25	0.0235135
6.3	0.0169216
6.35	0.0102957
6.4	0.00364917
6.45	-0.00300463
6.5	-0.00965246
6.55	-0.0162812
6.6	-0.0228777
6.65	-0.0294291
6.7	-0.0359226
6.75	-0.0423455
6.8	-0.0486854
6.85	-0.0549299
6.9	-0.0610671
6.95	-0.067085
7	-0.0729721
7.05	-0.0787169
7.1	-0.0843086
7.15	-0.0897363
7.2	-0.0949895
7.25	-0.100058
7.3	-0.104933
7.35	-0.109604
7.4	-0.114063
7.45	-0.1183
7.5	-0.122309
7.55	-0.126081
7.6	-0.129608
7.65	-0.132885
7.7	-0.135905
7.75	-0.138662
7.8	-0.141151
7.85	-0.143367
7.9	-0.145307
7.95	-0.146965
8	-0.14834
8.05	-0.149428
8.1	-0.150227
8.15	-0.150736
8.2	-0.150955
8.25	-0.150882
8.3	-0.150517
8.35	-0.149862
8.4	-0.148918
8.45	-0.147687
8.5	-0.14617
8.55	-0.144371
8.6	-0.142294
8.65	-0.139942
8.7	-0.13732
8.75	-0.134434
8.8	-0.131287
8.85	-0.127888
8.9	-0.124242
8.95	-0.120356
9	-0.116238
9.05	-0.111895
9.1	-0.107337
